check_id,group,class,module,title,requirement,status,verdict,operator_note,journal_range,started_at,ended_at,duration_ms
TC-FILE-14,TC-FILE,tech,File Import,Удаление несуществующего файла,"UC-05, NFR-2",успех,удаление несуществующего файла: 404 «File with id 08c08fa9-5e99-4bb4-8db2-ff57f8dc6eb1 not found» — код согласован,,#176,2026-09-18T14:23:48,2026-09-18T14:23:48,47.0
TC-REC-01,TC-REC,tech,Записи и разметка,Объединение RAW+markup в записи,замечание №1 к макету,успех,"записей 129 из 266 файлов (правило «имя + время импорта», покрытие разметкой 100.0%)",,#177,2026-09-18T14:23:48,2026-09-18T14:23:49,78.0
TC-REC-02,TC-REC,tech,Записи и разметка,Обработка дублей при сопоставлении,"замечание №1, п. 3.1 ТЗ",успех,"манифест полон (266 файлов, 137 строк), баз с дублями 61",,#178,2026-09-18T14:23:49,2026-09-18T14:23:49,63.0
TC-REC-03,TC-REC,manual,Записи и разметка,Ручная перепривязка пары,п. 3.1 ТЗ,не выполнена,,,—,,,
TC-REC-04,TC-REC,tech,Записи и разметка,Несопоставленные файлы,п. 3.1 ТЗ,успех,"несопоставленные выделены: RAW без разметки 0, разметка без RAW 0; прочих файлов 8 — все в манифесте",,#179,2026-09-18T14:23:49,2026-09-18T14:23:49,93.0
TC-REC-05,TC-REC,tech,Записи и разметка,Записи и чанки разметки,замечания №3/№4,успех,"разметка разобрана по 3 файл(ам): записей 129675, чанков 129675 · недоступно (не-ASCII) 3 файл(ов)",,#180…186,2026-09-18T14:23:49,2026-09-18T14:23:59,9797.0
TC-REC-06,TC-REC,tech,Записи и разметка,Сравнение дублей одной записи,замечание №1,успех,"версии «3Дпринтер» сопоставлены (2), актуальная — 53759cca0f24 (последняя по `import_date`)",,#187,2026-09-18T14:23:59,2026-09-18T14:23:59,109.0
TC-LOAD-01,TC-LOAD,tech,Loads,Реестр нагрузок получен,"UC-06, BR-F2",успех,"реестр нагрузок получен: 62 из 62, срез limit/offset различает страницы",,#188…190,2026-09-18T14:23:59,2026-09-18T14:23:59,109.0
TC-LOAD-02,TC-LOAD,tech,Loads,Состав полей реестра и контракт,"FR-3, контракт 17.09.2026",успех,"состав полей реестра: load_id, category, description; `phase_connection` в контракте 17.09.2026 нет — расхождение снято",,#191,2026-09-18T14:23:59,2026-09-18T14:23:59,47.0
TC-LOAD-03,TC-LOAD,tech,Loads,Неизвестный параметр `ph_n`,"FR-3, контракт 17.09.2026",успех,"неизвестный параметр `ph_n` игнорируется: выдача та же, что без фильтра (параметра нет в контракте 17.09.2026) — зафиксировано",,#192…193,2026-09-18T14:23:59,2026-09-18T14:23:59,63.0
TC-LOAD-04,TC-LOAD,tech,Loads,Точность фильтров `load_id`/`category`,"UC-06, NFR-4",успех,"точные фильтры: load_id → 1, category → 1",,#194…196,2026-09-18T14:23:59,2026-09-18T14:23:59,109.0
TC-LOAD-05,TC-LOAD,tech,Loads,Поиск по описанию,"UC-06, NFR-4",успех,поиск по описанию: «остальное» → 1 из 62 нагрузок,,#197…198,2026-09-18T14:23:59,2026-09-18T14:23:59,62.0
TC-LOAD-06,TC-LOAD,tech,Loads,Качество данных реестра,замечание №2,успех,справочник категорий: регистровые дубли категорий: Малая нагрузка/малая нагрузка (замечание о справочнике категорий),,#199,2026-09-18T14:23:59,2026-09-18T14:23:59,31.0
TC-LOAD-07,TC-LOAD,tech,Loads,Отсутствие удаления нагрузки,замечание к API,успех,удаления нагрузки нет: 405 — нагрузку через API убрать нельзя (замечание к API P2),,#200…201,2026-09-18T14:23:59,2026-09-18T14:23:59,63.0
TC-TASK-01,TC-TASK,live,Task service,Запуск диагностической задачи,"UC-26, FR-8",не выполнена,,,—,,,
TC-TASK-02,TC-TASK,tech,Task service,"Список задач, фильтры и пагинация","UC-27, NFR-4",успех,"tasks + count получены: задач 14, возвращено 14; фильтры (тип, статус, период) и пагинация отвечают",,#202…211,2026-09-18T14:23:59,2026-09-18T14:23:59,312.0
TC-TASK-03,TC-TASK,tech,Task service,Карточка задачи с прогонами,"UC-27, BR-F7",пропущена,не выбран task_id: откройте карточку задачи на экране «Задачи»,,#212,2026-09-18T14:23:59,2026-09-18T14:23:59,0.0
TC-TASK-04,TC-TASK,live,Task service,Переходы FSM-1 без расхода ресурсов,"FSM-1, UC-28, BR-F7",не выполнена,,,—,,,
TC-TASK-05,TC-TASK,live,Task service,Прерывание задачи,"FSM-1, UC-28",не выполнена,,,—,,,
TC-TASK-06,TC-TASK,tech,Task service,Идемпотентность команд и запрет из терминального состояния,BR-R3,пропущена,не выбран task_id: откройте карточку задачи на экране «Задачи»,,#212,2026-09-18T14:23:59,2026-09-18T14:23:59,0.0
TC-TASK-07,TC-TASK,tech,Task service,Неизвестная задача,BR-R7,успех,сервер ответил 404 на неизвестный task_id: Task not found,,#212,2026-09-18T14:23:59,2026-09-18T14:24:00,47.0
TC-TASK-08,TC-TASK,manual,Task service,Наблюдение за внешней задачей,BR-R5,не выполнена,,,—,,,
